Date,Open,High,Low,Close
01/03/2023,"16,549","16,799","16,491","16,667"
12/31/2022,"16,836","16,957","16,340","16,549"
12/24/2022,"16,709","17,023","16,300","16,836"
12/17/2022,"17,129","18,338","16,534","16,709"
12/10/2022,"16,957","17,416","16,692","17,129"
